source,target
AlfredBosch,jordinasb85
DANIELdoiser,jordinasb85
Iaia_Toneta,jordinasb85
eixugatitornemh,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
omnium,jordinasb85
vpartal,jordinasb85
VilaWeb,jordinasb85
jordinasb85,jordievole
jordinasb85,KRLS
jordinasb85,antoniobanos_
jordinasb85,cupnacional
jordinasb85,txarango
jordinasb85,diariARA
jordinasb85,30minuts
jordinasb85,eixugatitornemh
jordinasb85,QuimMonzo
jordinasb85,ariadnaoltra
jordinasb85,_anapastor_
jordinasb85,HiginiaRoig
jordinasb85,Araeslhora
jordinasb85,martarovira
jordinasb85,raulromeva
jordinasb85,3gerardpique
jordinasb85,elscatarres
jordinasb85,barcelona_cat
jordinasb85,gebelque
jordinasb85,assemblea
jordinasb85,TimeOutBCN
jordinasb85,enderrock
jordinasb85,joandausa
jordinasb85,GrupManel
jordinasb85,AdaColau
jordinasb85,amicsdelesarts
jordinasb85,parlament_cat
jordinasb85,Catala_Correcte
jordinasb85,salvadorcardus
jordinasb85,mariusserra
jordinasb85,antonibassas
jordinasb85,murielcasals
jordinasb85,vpartal
jordinasb85,omnium
robertopiqueras,AdaColau
robertopiqueras,instagram
mkserra,subramon1
JoanTarda,subramon1
25novembre2012,subramon1
MartaDui,subramon1
unilateralcat,subramon1
AlfredBosch,subramon1
subramon1,MonDiari
subramon1,toniclapes
subramon1,MainatJM
subramon1,mkserra
subramon1,JuntsPelSi
subramon1,antoniobanos_
subramon1,maticatradio
subramon1,ARApolitica
subramon1,ferrantorrentll
subramon1,gabrielrufian
subramon1,ivanrakitic
subramon1,muyinteresante
subramon1,barcelona_cat
subramon1,cupnacional
subramon1,QuimMasferrer
subramon1,Iaia_Toneta
subramon1,ariadnaoltra
subramon1,sport
subramon1,perezesquerdo
subramon1,el_pais
subramon1,jmbartomeu
subramon1,gebelque
subramon1,jofrellombart
subramon1,lluis_llach
subramon1,KRLS
subramon1,MartaDui
subramon1,ceskfreixas
subramon1,martarovira
subramon1,txearana
subramon1,murielcasals
subramon1,RaholaOficial
subramon1,miquelcalcada
subramon1,JordiGraupera
subramon1,VilaWeb
subramon1,vpartal
subramon1,salvadorcardus
subramon1,JoanTarda
subramon1,Esquerra_ERC
subramon1,DaniMateoAgain
subramon1,jordievole
subramon1,maiolsanauja
subramon1,AlfredBosch
subramon1,Catala_Correcte
subramon1,policia
subramon1,assemblea
subramon1,naciodigital
subramon1,unilateralcat
subramon1,sumate_asoc
subramon1,JoanLaportaFCB
subramon1,gcapdevila
subramon1,raulromeva
subramon1,Araeslhora
subramon1,parlament_cat
subramon1,ForcadellCarme
subramon1,LuisSuarez9
subramon1,AdaColau
subramon1,ModernetdeMerda
subramon1,LUISENRIQUE21
subramon1,324cat
subramon1,antonibassas
subramon1,HiginiaRoig
subramon1,soniagelma
subramon1,junqueras
