Esquerra_ERC,jordinasb85
jordinasb85,3gerardpique
subramon1,Esquerra_ERC
subramon1,3gerardpique
Esquerra_ERC,edmon_bosch
Esquerra_ERC,jacobiteabroad
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
miaalberti,Esquerra_ERC
Esquerra_ERC,merymore_
merymore_,3gerardpique
didito99,3gerardpique
Xavier_rcde,3gerardpique
Esquerra_ERC,judithyalka
judithyalka,3gerardpique
Esquerra_ERC,MaxCasas5
MaxCasas5,3gerardpique
GemmaLarruy,Esquerra_ERC
GemmaLarruy,3gerardpique
Esquerra_ERC,CarlesVidal
CarlesVidal,Esquerra_ERC
CarlesVidal,3gerardpique
Esquerra_ERC,daddordaddor
daddordaddor,Esquerra_ERC
angelagarcia92,3gerardpique
Kli_fes,3gerardpique
LauraaLlop,Esquerra_ERC
LauraaLlop,3gerardpique
MedusaCultura,NachoSanahuja
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
albert_sanju,3gerardpique
llavinarp,3gerardpique
Esquerra_ERC,itsanneta
itsanneta,Esquerra_ERC
elcapo_vcf,3gerardpique
MedusaCultura,NachoSanahuja
Esquerra_ERC,isaacguila
isaacguila,Esquerra_ERC
isaacguila,3gerardpique
miquel57,Esquerra_ERC
jaumefvidal,3gerardpique
StefiQuilez7,3gerardpique
TuiteroDelSur,3gerardpique
Bartro10,3gerardpique
