source,target
AlfredBosch,jordinasb85
Iaia_Toneta,jordinasb85
eixugatitornemh,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
omnium,jordinasb85
vpartal,jordinasb85
VilaWeb,jordinasb85
jordinasb85,jordievole
jordinasb85,KRLS
jordinasb85,txarango
jordinasb85,diariARA
jordinasb85,eixugatitornemh
jordinasb85,QuimMonzo
jordinasb85,ariadnaoltra
jordinasb85,HiginiaRoig
jordinasb85,Araeslhora
jordinasb85,martarovira
jordinasb85,raulromeva
jordinasb85,3gerardpique
jordinasb85,barcelona_cat
jordinasb85,assemblea
jordinasb85,joandausa
jordinasb85,Catala_Correcte
jordinasb85,antonibassas
jordinasb85,vpartal
jordinasb85,omnium
robertopiqueras,instagram
mkserra,subramon1
JoanTarda,subramon1
AlfredBosch,subramon1
subramon1,mkserra
subramon1,JuntsPelSi
subramon1,barcelona_cat
subramon1,QuimMasferrer
subramon1,Iaia_Toneta
subramon1,ariadnaoltra
subramon1,lluis_llach
subramon1,KRLS
subramon1,martarovira
subramon1,RaholaOficial
subramon1,miquelcalcada
subramon1,VilaWeb
subramon1,vpartal
subramon1,JoanTarda
subramon1,Esquerra_ERC
subramon1,jordievole
subramon1,AlfredBosch
subramon1,Catala_Correcte
subramon1,policia
subramon1,assemblea
subramon1,raulromeva
subramon1,Araeslhora
subramon1,ForcadellCarme
subramon1,LuisSuarez9
subramon1,ModernetdeMerda
subramon1,324cat
subramon1,antonibassas
subramon1,HiginiaRoig
subramon1,junqueras
subramon1,elmonarac1
subramon1,rac1
subramon1,lacompetencia
subramon1,philmusical
subramon1,Buenafuente
subramon1,BarackObama
subramon1,maldiniplus
subramon1,ristomejide
subramon1,neymarjr
subramon1,Mascherano
subramon1,MarcBartra
subramon1,1victorvaldes
subramon1,Carles5puyol
subramon1,cesc4official
subramon1,DaniAlvesD2
subramon1,andresiniesta8
subramon1,3gerardpique
subramon1,diariARA
subramon1,XSalaimartin
subramon1,QuimMonzo
subramon1,soler_toni
subramon1,jordibaste
gerard__89,jordievole
Esquerra_ERC,edmon_bosch
mkserra,edmon_bosch
AlfredBosch,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
edmon_bosch,barcelona_cat
edmon_bosch,FCBarcelona_cat
edmon_bosch,ariadnaoltra
edmon_bosch,XSalaimartin
edmon_bosch,miquelcalcada
edmon_bosch,omnium
gahero,BarackObama
Esquerra_ERC,jacobiteabroad
jacobiteabroad,policia
jacobiteabroad,neymarjr
jacobiteabroad,andresiniesta8
jacobiteabroad,Buenafuente
jacobiteabroad,XSalaimartin
jacobiteabroad,BarackObama
jacobiteabroad,ristomejide
jacobiteabroad,maldiniplus
jacobiteabroad,Carles5puyol
jacobiteabroad,cesc4official
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
AlfredBosch,miaalberti
miaalberti,JuntsPelSi
miaalberti,324cat
miaalberti,Araeslhora
miaalberti,policia
miaalberti,ristomejide
miaalberti,instagram
miaalberti,martarovira
miaalberti,RaholaOficial
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,antonibassas
miaalberti,AlfredBosch
miaalberti,junqueras
miaalberti,JoanTarda
miaalberti,jordievole
miaalberti,APMTV3
Esquerra_ERC,merymore_
merymore_,MarcBartra
merymore_,tv3cat
merymore_,joandausa
merymore_,EstrellaDammCat
merymore_,diariARA
merymore_,txarango
merymore_,APMTV3
merymore_,DaniAlvesD2
merymore_,cesc4official
merymore_,1victorvaldes
merymore_,ristomejide
merymore_,instagram
merymore_,3gerardpique
merymore_,BarackObama
merymore_,andresiniesta8
merymore_,Carles5puyol
merymore_,shakira
paula_martcos,instagram
paula_martcos,txarango
eixugatitornemh,albujawladimir
assemblea,albujawladimir
albujawladimir,eixugatitornemh
albujawladimir,instagram
albujawladimir,ForcadellCarme
albujawladimir,Araeslhora
albujawladimir,ariadnaoltra
albujawladimir,QuimMonzo
albujawladimir,barcelona_cat
albujawladimir,FCBarcelona_cat
albujawladimir,Buenafuente
albujawladimir,elmonarac1
