source,target
AlfredBosch,jordinasb85
eixugatitornemh,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
omnium,jordinasb85
vpartal,jordinasb85
VilaWeb,jordinasb85
jordinasb85,jordievole
jordinasb85,KRLS
jordinasb85,txarango
jordinasb85,diariARA
jordinasb85,eixugatitornemh
jordinasb85,QuimMonzo
jordinasb85,ariadnaoltra
jordinasb85,HiginiaRoig
jordinasb85,Araeslhora
jordinasb85,martarovira
jordinasb85,raulromeva
jordinasb85,3gerardpique
jordinasb85,assemblea
jordinasb85,joandausa
jordinasb85,antonibassas
jordinasb85,vpartal
jordinasb85,omnium
robertopiqueras,instagram
AlfredBosch,subramon1
subramon1,JuntsPelSi
subramon1,QuimMasferrer
subramon1,ariadnaoltra
subramon1,lluis_llach
subramon1,KRLS
subramon1,martarovira
subramon1,miquelcalcada
subramon1,VilaWeb
subramon1,vpartal
subramon1,Esquerra_ERC
subramon1,jordievole
subramon1,AlfredBosch
subramon1,policia
subramon1,assemblea
subramon1,raulromeva
subramon1,Araeslhora
subramon1,ForcadellCarme
subramon1,ModernetdeMerda
subramon1,324cat
subramon1,antonibassas
subramon1,HiginiaRoig
subramon1,junqueras
subramon1,elmonarac1
subramon1,rac1
subramon1,lacompetencia
subramon1,Buenafuente
subramon1,ristomejide
subramon1,1victorvaldes
subramon1,Carles5puyol
subramon1,cesc4official
subramon1,DaniAlvesD2
subramon1,andresiniesta8
subramon1,3gerardpique
subramon1,diariARA
subramon1,XSalaimartin
subramon1,QuimMonzo
subramon1,jordibaste
gerard__89,jordievole
Esquerra_ERC,edmon_bosch
AlfredBosch,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
edmon_bosch,FCBarcelona_cat
edmon_bosch,ariadnaoltra
edmon_bosch,XSalaimartin
edmon_bosch,miquelcalcada
edmon_bosch,omnium
Esquerra_ERC,jacobiteabroad
jacobiteabroad,policia
jacobiteabroad,andresiniesta8
jacobiteabroad,Buenafuente
jacobiteabroad,XSalaimartin
jacobiteabroad,ristomejide
jacobiteabroad,Carles5puyol
jacobiteabroad,cesc4official
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
AlfredBosch,miaalberti
miaalberti,JuntsPelSi
miaalberti,324cat
miaalberti,Araeslhora
miaalberti,policia
miaalberti,ristomejide
miaalberti,instagram
miaalberti,martarovira
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,antonibassas
miaalberti,AlfredBosch
miaalberti,junqueras
miaalberti,jordievole
miaalberti,APMTV3
Esquerra_ERC,merymore_
merymore_,joandausa
merymore_,diariARA
merymore_,txarango
merymore_,APMTV3
