source,target
Esquerra_ERC,jordinasb85
jordinasb85,3gerardpique
jordinasb85,assemblea
robertopiqueras,instagram
subramon1,Esquerra_ERC
subramon1,assemblea
subramon1,ristomejide
subramon1,3gerardpique
Esquerra_ERC,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
Esquerra_ERC,jacobiteabroad
jacobiteabroad,ristomejide
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
miaalberti,ristomejide
miaalberti,instagram
miaalberti,Esquerra_ERC
miaalberti,assemblea
Esquerra_ERC,merymore_
merymore_,ristomejide
merymore_,instagram
merymore_,3gerardpique
paula_martcos,instagram
assemblea,albujawladimir
albujawladimir,instagram
albujawladimir,assemblea
walkaway,ristomejide
didito99,3gerardpique
Xavier_rcde,3gerardpique
Xavier_rcde,ristomejide
Esquerra_ERC,judithyalka
judithyalka,instagram
judithyalka,3gerardpique
judithyalka,ristomejide
xramonrivera,instagram
xramonrivera,ristomejide
Esquerra_ERC,MaxCasas5
MaxCasas5,3gerardpique
gesma1983,ristomejide
assemblea,GemmaLarruy
GemmaLarruy,Esquerra_ERC
GemmaLarruy,assemblea
GemmaLarruy,instagram
GemmaLarruy,ristomejide
GemmaLarruy,3gerardpique
Esquerra_ERC,CarlesVidal
assemblea,CarlesVidal
CarlesVidal,Esquerra_ERC
CarlesVidal,assemblea
CarlesVidal,3gerardpique
Esquerra_ERC,daddordaddor
daddordaddor,assemblea
daddordaddor,Esquerra_ERC
IlianaCapllonch,instagram
angelagarcia92,instagram
angelagarcia92,ristomejide
angelagarcia92,3gerardpique
Kli_fes,3gerardpique
Kli_fes,ristomejide
Kli_fes,instagram
LauraaLlop,Esquerra_ERC
LauraaLlop,assemblea
LauraaLlop,3gerardpique
MedusaCultura,NachoSanahuja
MedusaCultura,ristomejide
MedusaCultura,instagram
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
albert_sanju,assemblea
albert_sanju,instagram
albert_sanju,3gerardpique
llavinarp,instagram
llavinarp,3gerardpique
llavinarp,ristomejide
Esquerra_ERC,itsanneta
itsanneta,Esquerra_ERC
itsanneta,assemblea
assemblea,janinavilana
janinavilana,assemblea
elcapo_vcf,3gerardpique
MedusaCultura,NachoSanahuja
assemblea,isaacguila
Esquerra_ERC,isaacguila
isaacguila,ristomejide
isaacguila,assemblea
isaacguila,instagram
isaacguila,Esquerra_ERC
isaacguila,3gerardpique
Motilleta_,instagram
MartaBascu,instagram
MartaBascu,ristomejide
miquel57,Esquerra_ERC
miquel57,assemblea
jaumefvidal,instagram
jaumefvidal,ristomejide
jaumefvidal,3gerardpique
StefiQuilez7,3gerardpique
TuiteroDelSur,ristomejide
TuiteroDelSur,3gerardpique
Bartro10,instagram
Bartro10,ristomejide
Bartro10,3gerardpique
