group,id
1,jordinasb85
1,robertopiqueras
1,subramon1
1,A_M_Alali
1,gerard__89
1,edmon_bosch
1,gahero
1,jacobiteabroad
1,miaalberti
1,merymore_
1,paula_martcos
1,albujawladimir
1,walkaway
1,didito99
1,Xavier_rcde
1,judithyalka
1,xramonrivera
1,MaxCasas5
1,gesma1983
1,GemmaLarruy
1,CarlesVidal
1,outplayer1
1,daddordaddor
1,IlianaCapllonch
1,_NitReolid
1,angelagarcia92
1,Kli_fes
1,LauraaLlop
1,MedusaCultura
1,albert_sanju
1,gunsznroses
1,llavinarp
1,itsanneta
1,janinavilana
1,elcapo_vcf
1,NachoSanahuja
1,isaacguila
1,Motilleta_
1,CharlieYoung_98
1,imouthes
1,MartaBascu
1,miquel57
1,jaumefvidal
1,StefiQuilez7
1,RobertAdamson90
1,TuiteroDelSur
1,Bartro10
2,AlfredBosch
2,DANIELdoiser
2,Iaia_Toneta
2,eixugatitornemh
2,HiginiaRoig
2,Esquerra_ERC
2,lizcastro
2,Lespurnabloc
2,laculturanoval
2,omnium
2,vpartal
2,VilaWeb
2,jordievole
2,KRLS
2,antoniobanos_
2,cupnacional
2,RogerPala
2,salvadostv
2,txarango
2,natzafarre
2,monicaplanas
2,diariARA
2,30minuts
2,QuimMonzo
2,ariadnaoltra
2,_anapastor_
2,Araeslhora
2,martarovira
2,raulromeva
2,3gerardpique
2,elscatarres
2,barcelona_cat
2,gebelque
2,assemblea
2,TimeOutBCN
2,enderrock
2,BibianaBallbe
2,joandausa
2,MishimaBCN
2,GrupManel
2,isonapassola
2,AdaColau
2,nuvol_com
2,ramontremosa
2,amicsdelesarts
2,parlament_cat
2,Catala_Correcte
2,salvadorcardus
2,mariusserra
2,antonibassas
2,murielcasals
2,instagram
2,JEFFERSONCATALA
2,rincewindcat
2,mkserra
2,JoanTarda
2,25novembre2012
2,PostureigCatala
2,jorditoty
2,MartaDui
2,unilateralcat
2,ConvergenciaCAT
2,jordifinestres
2,joseluiscarazo
2,TianRiba
2,nytimes
2,MonDiari
2,toniclapes
2,MainatJM
2,JuntsPelSi
2,maticatradio
2,ARApolitica
2,esport3
2,ferrantorrentll
2,gabrielrufian
2,ivanrakitic
2,francescribera
2,saulgordillo
2,muyinteresante
2,BernatDedeu
2,QuimMasferrer
2,Toni_Cruanyes
2,Mas_Enfurecido
2,Cristiano
2,As_TomasRoncero
2,sport
2,perezesquerdo
2,el_pais
2,encampanya
2,jmbartomeu
2,Thiago6
2,_Pedro17_
2,jofrellombart
2,lluis_llach
2,CatalunyaRadio
2,ceskfreixas
2,txearana
2,RaholaOficial
2,miquelcalcada
2,JordiGraupera
2,danimartinezweb
2,DaniMateoAgain
2,maiolsanauja
2,policia
2,naciodigital
2,perezreverte
2,BBCBreaking
2,sumate_asoc
2,JoanLaportaFCB
2,gcapdevila
2,gencat
2,govern
2,ForcadellCarme
2,LuisSuarez9
2,CarlesCapde
2,ModernetdeMerda
2,kilianj
2,LUISENRIQUE21
2,324cat
2,EnricJuliana
2,queconovell
2,bruno_oro
2,soniagelma
2,junqueras
2,emparmoliner
2,elmonarac1
2,rac1
2,Sergimas
2,Quimkong
2,lacompetencia
2,philmusical
2,DANIROVIRA
2,Berto_Romero
2,Buenafuente
2,BarackObama
2,SSantiagosegura
2,maldiniplus
2,Rafinha
2,ristomejide
2,neymarjr
2,Mascherano
2,MarcBartra
2,1victorvaldes
2,Carles5puyol
2,cesc4official
2,DaniAlvesD2
2,paugasol
2,andresiniesta8
2,Guaje7Villa
2,rbesac
2,JaumeBarbera
2,XSalaimartin
2,soler_toni
2,xavierbosch
2,RTorquemada
2,jordibaste
2,RogerSaperas
2,Fotlipou
2,jordicosta1
2,JamieBetts_PT
2,KAHALABarcelona
2,_MaluOficial_
2,ladygaga
2,OSValles
2,epunset
2,FCBarcelona_cat
2,jjdiaz129
2,FCBarcelona
2,XabiAlonso
2,RafaelNadal
2,SergioRamos
2,APMTV3
2,losbarrankillos
2,encatala
2,apuntem
2,aprendeingIes
2,CanetRock
2,SonMicroCuentos
2,tv3cat
2,EstrellaDammCat
2,homo_apm
2,YouTube
2,MejoresTwits
2,hdnegro
2,AnnaSimonMari
2,shakira
2,AbiertaMente
2,rauxacatalana
2,auronplay
2,JordiAlba
2,mundodeportivo
2,PereMercader
2,RogerMasOficial
2,MeteoMauri
2,polcorominas
2,FCBfanatics
2,frasesambanima
2,andrewfunkspain
