Esquerra_ERC,jordinasb85
subramon1,Esquerra_ERC
Esquerra_ERC,edmon_bosch
Esquerra_ERC,jacobiteabroad
Esquerra_ERC,miaalberti
miaalberti,Esquerra_ERC
Esquerra_ERC,merymore_
Esquerra_ERC,judithyalka
Esquerra_ERC,MaxCasas5
GemmaLarruy,Esquerra_ERC
Esquerra_ERC,CarlesVidal
CarlesVidal,Esquerra_ERC
Esquerra_ERC,daddordaddor
daddordaddor,Esquerra_ERC
LauraaLlop,Esquerra_ERC
MedusaCultura,NachoSanahuja
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
Esquerra_ERC,itsanneta
itsanneta,Esquerra_ERC
MedusaCultura,NachoSanahuja
Esquerra_ERC,isaacguila
isaacguila,Esquerra_ERC
miquel57,Esquerra_ERC
