source,target
Esquerra_ERC,jordinasb85
jordinasb85,3gerardpique
jordinasb85,assemblea
subramon1,Esquerra_ERC
subramon1,assemblea
subramon1,3gerardpique
Esquerra_ERC,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
Esquerra_ERC,jacobiteabroad
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
miaalberti,Esquerra_ERC
miaalberti,assemblea
Esquerra_ERC,merymore_
merymore_,3gerardpique
assemblea,albujawladimir
albujawladimir,assemblea
didito99,3gerardpique
Xavier_rcde,3gerardpique
Esquerra_ERC,judithyalka
judithyalka,3gerardpique
Esquerra_ERC,MaxCasas5
MaxCasas5,3gerardpique
assemblea,GemmaLarruy
GemmaLarruy,Esquerra_ERC
GemmaLarruy,assemblea
GemmaLarruy,3gerardpique
Esquerra_ERC,CarlesVidal
assemblea,CarlesVidal
CarlesVidal,Esquerra_ERC
CarlesVidal,assemblea
CarlesVidal,3gerardpique
Esquerra_ERC,daddordaddor
daddordaddor,assemblea
daddordaddor,Esquerra_ERC
angelagarcia92,3gerardpique
Kli_fes,3gerardpique
LauraaLlop,Esquerra_ERC
LauraaLlop,assemblea
LauraaLlop,3gerardpique
MedusaCultura,NachoSanahuja
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
albert_sanju,assemblea
albert_sanju,3gerardpique
llavinarp,3gerardpique
Esquerra_ERC,itsanneta
itsanneta,Esquerra_ERC
itsanneta,assemblea
assemblea,janinavilana
janinavilana,assemblea
elcapo_vcf,3gerardpique
MedusaCultura,NachoSanahuja
assemblea,isaacguila
Esquerra_ERC,isaacguila
isaacguila,assemblea
isaacguila,Esquerra_ERC
isaacguila,3gerardpique
miquel57,Esquerra_ERC
miquel57,assemblea
jaumefvidal,3gerardpique
StefiQuilez7,3gerardpique
TuiteroDelSur,3gerardpique
Bartro10,3gerardpique
