group,id
2,Buenafuente
2,BarackObama
2,SSantiagosegura
2,maldiniplus
2,marca
2,gerardeulofeu
2,sguasch
2,Rafinha
2,ristomejide
2,neymarjr
2,Mascherano
2,EAbidalOfficial
2,MarcBartra
2,1victorvaldes
2,Carles5puyol
2,cesc4official
2,DaniAlvesD2
2,paugasol
2,andresiniesta8
2,Guaje7Villa
2,SarmientoSandra
2,xavitorresll
2,rbesac
2,JaumeBarbera
2,XSalaimartin
2,ARAesports
2,soler_toni
2,xavierbosch
2,RTorquemada
2,LaTdP
2,FCBRAC1
2,jordibaste
2,RogerSaperas
2,Fotlipou
2,airllimos
2,jordicosta1
2,tudirasrac1
2,JamieBetts_PT
2,SeoManiak_Web
2,SnookerBarBCN
2,KAHALABarcelona
2,garriga_gerard
2,edumayoral
2,David_Busta
2,pabloalboran
2,_MaluOficial_
2,rihanna
2,katyperry
2,ladygaga
2,quederap
2,anoiencs
2,msubirats
2,minutus_bebe
2,OSValles
2,musicosclasicos
2,turismeanoia
2,rosergraell
2,annafenoy
2,ycomMUSICA
2,tr3sc
2,epunset
2,FCBarcelona_cat
2,NewYorker
2,aplusk
2,coldplay
2,jjdiaz129
2,Vilallonga
2,ifilosofia
2,xriusenoticies
2,FCBarcelona
2,rudy5fernandez
2,19SCazorla
2,gallir
2,albertochicote
2,Pontifex
2,martatorne
2,alo_oficial
2,Londonist
2,KevinSpacey
2,CNN
2,abarceloh25
2,Carlos_Latre
2,8aldia
2,edans
2,XabiAlonso
2,llorentefer19
2,RafaelNadal
2,SergioRamos
2,michaelrobinson
2,sarabzq_bdn
2,albertbonet
2,enricvd
2,vagadefam
2,ebenach
2,TimeOutLondon
2,BrunoMars
2,TfL
2,APMTV3
2,Pink
2,JodidoAngel
2,musica_cat
2,LGPguardians
2,losbarrankillos
2,gruplexus
2,Dolors_TL
2,encatala
2,apuntem
2,PASTORETSROCK
2,enpeyu
2,aprendeingIes
2,CanetRock
2,SergiRoberto10
2,SonMicroCuentos
2,DaniRoviraTwits
2,tv3cat
2,univpompeufabra
2,Yisuscraistxd
2,_danielmartin_
2,la_marato
2,PoeticaAccion_
2,gerardquintana
2,OquesGrasses
2,HayQueSaberlo
2,OrtografiaTuits
2,EstrellaDammCat
2,teatrenacional
2,lapegatina
2,ascodevida
2,homo_apm
2,CuencaIsaac
2,YouTube
2,MejoresTwits
2,El_Hormiguero
2,kanyewest
2,hdnegro
2,davidguetta
2,carles_ribes
2,AngyFdz
2,AnnaSimonMari
2,twitter
2,ashleytisdale
2,FCBarcelona_es
2,rickyrubio9
2,AlejandroSanz
2,shakira
2,davidbisbal
2,Viktorius96
2,ocupaciocat
2,BCNGigs
2,lauditori
2,maria_hb18
2,espinosa_albert
2,AbiertaMente
2,llucreixach
2,Ed_Periscopi
2,rauxacatalana
2,CCCBLab
2,maria_9barris
2,joltrajr
2,MoritzBarcelona
2,TV3alacarta
2,arallibres
2,Pako_el_flaco
2,auronplay
2,Sexo_Datos
2,Foto_Historia
2,Dia_Como_Hoy
2,SonReflexiones
2,JordiAlba
2,marcmarquez93
2,MelendiOficial
2,muniesa92
2,ctello91
2,BoKrkic
2,isco_alarcon
2,MarcGasol
2,Llourinho
2,mundodeportivo
2,buhosoficial
2,NilRomagosa
2,PereMercader
2,cdberga
2,collavella
2,strombers
2,oriolamat
2,etfelicitofill
2,senyorstranquil
2,teatrelliure
2,RogerMasOficial
2,lasegonahora
2,MeteoMauri
2,polcorominas
2,marcdecortina
2,FCBfanatics
2,Moda__Chicas
2,Monica_Usart
2,pepmariavila
2,Paisajes_Es
2,GuiaParaLaVida1
2,joan_llado
2,AlexGutierrezM
2,CanCalent
2,margaportells
2,Ep0khe_
2,AitorCZ
2,CristinaCuadrat
2,frasesambanima
2,theangelfour
2,MrPINTXO
2,ANC_Dosrius
2,Rafael_Vidac
2,m120290
2,ignasicomellas
2,Oscardoiser
2,LesVoltes
2,meteocat
2,andrewfunkspain
2,Quimi_Portet
2,jordicabre
2,guilletroyano
2,marinallansana
2,MiquelArgelich
2,MercatMusicaVic
2,Bio_Ge
2,rpagesol
2,SergiCAT2014
2,CulturaIndepe
2,OdileAbel
2,oriol_ges
2,kaimaxi
2,guiu23
2,BanderaCatalana
2,joanqueralto
2,puntcat
2,RMarsinyach
2,AncBergueda
2,Signaunvot
2,ANCLHospitalet
2,marie_kapretz
2,anna_arque
2,ANC_Berga
2,Bergueda
2,lageneralberga
2,_jaumecreixell
2,peremas
2,alfons_godall
2,totgira
