source,target
jacobiteabroad,Guaje7Villa
jacobiteabroad,Guaje7Villa
jacobiteabroad,FCBarcelona
jacobiteabroad,policia
jacobiteabroad,neymarjr
jacobiteabroad,rincewindcat
jacobiteabroad,andresiniesta8
jacobiteabroad,Cristiano
jacobiteabroad,Buenafuente
jacobiteabroad,jjdiaz129
jacobiteabroad,XabiAlonso
jacobiteabroad,EnricJuliana
jacobiteabroad,paugasol
jacobiteabroad,RafaelNadal
jacobiteabroad,nytimes
jacobiteabroad,SergioRamos
jacobiteabroad,XSalaimartin
jacobiteabroad,BarackObama
jacobiteabroad,ristomejide
jacobiteabroad,BBCBreaking
jacobiteabroad,maldiniplus
jacobiteabroad,Carles5puyol
jacobiteabroad,perezreverte
jacobiteabroad,cesc4official
jacobiteabroad,parlament_cat
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
AlfredBosch,miaalberti
miaalberti,gabrielrufian
miaalberti,antoniobanos_
miaalberti,cupnacional
miaalberti,JuntsPelSi
miaalberti,324cat
miaalberti,Araeslhora
miaalberti,policia
miaalberti,MainatJM
miaalberti,Sergimas
miaalberti,ristomejide
miaalberti,instagram
miaalberti,isonapassola
miaalberti,martarovira
miaalberti,RaholaOficial
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,maiolsanauja
miaalberti,JaumeBarbera
miaalberti,antonibassas
miaalberti,AlfredBosch
miaalberti,junqueras
miaalberti,JoanTarda
miaalberti,jordievole
miaalberti,APMTV3
miaalberti,ladygaga
Esquerra_ERC,merymore_
losbarrankillos,merymore_
encatala,merymore_
apuntem,merymore_
merymore_,Mas_Enfurecido
merymore_,aprendeingIes
merymore_,CanetRock
merymore_,MarcBartra
merymore_,SonMicroCuentos
merymore_,tv3cat
merymore_,losbarrankillos
merymore_,Toni_Cruanyes
merymore_,elscatarres
merymore_,joandausa
merymore_,EstrellaDammCat
merymore_,diariARA
merymore_,apuntem
merymore_,amicsdelesarts
merymore_,txarango
merymore_,homo_apm
merymore_,YouTube
merymore_,encatala
merymore_,MejoresTwits
merymore_,DANIROVIRA
merymore_,Berto_Romero
merymore_,APMTV3
merymore_,DaniAlvesD2
merymore_,cesc4official
merymore_,paugasol
merymore_,1victorvaldes
merymore_,ristomejide
merymore_,hdnegro
merymore_,instagram
merymore_,XabiAlonso
merymore_,3gerardpique
merymore_,SSantiagosegura
merymore_,DaniMateoAgain
merymore_,AnnaSimonMari
merymore_,danimartinezweb
merymore_,SergioRamos
merymore_,FCBarcelona
merymore_,BarackObama
merymore_,ladygaga
merymore_,andresiniesta8
merymore_,Carles5puyol
merymore_,shakira
paula_martcos,instagram
paula_martcos,TimeOutBCN
paula_martcos,txarango
paula_martcos,_MaluOficial_
JamieBetts_PT,albujawladimir
eixugatitornemh,albujawladimir
unilateralcat,albujawladimir
AbiertaMente,albujawladimir
Lespurnabloc,albujawladimir
assemblea,albujawladimir
rauxacatalana,albujawladimir
albujawladimir,naciodigital
albujawladimir,encatala
albujawladimir,eixugatitornemh
albujawladimir,nytimes
albujawladimir,instagram
albujawladimir,unilateralcat
albujawladimir,ForcadellCarme
albujawladimir,Araeslhora
albujawladimir,AbiertaMente
albujawladimir,maiolsanauja
albujawladimir,ariadnaoltra
albujawladimir,TimeOutBCN
albujawladimir,emparmoliner
albujawladimir,Lespurnabloc
albujawladimir,QuimMonzo
albujawladimir,barcelona_cat
albujawladimir,_MaluOficial_
albujawladimir,FCBarcelona_cat
albujawladimir,Buenafuente
albujawladimir,CarlesCapde
albujawladimir,30minuts
albujawladimir,sumate_asoc
albujawladimir,elmonarac1
albujawladimir,govern
albujawladimir,CatalunyaRadio
