source,target
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
jordinasb85,jordievole
jordinasb85,HiginiaRoig
jordinasb85,3gerardpique
jordinasb85,assemblea
robertopiqueras,instagram
subramon1,Esquerra_ERC
subramon1,jordievole
subramon1,assemblea
subramon1,ForcadellCarme
subramon1,HiginiaRoig
subramon1,ristomejide
subramon1,Carles5puyol
subramon1,3gerardpique
gerard__89,jordievole
Esquerra_ERC,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
Esquerra_ERC,jacobiteabroad
jacobiteabroad,ristomejide
jacobiteabroad,Carles5puyol
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
miaalberti,ristomejide
miaalberti,instagram
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,jordievole
Esquerra_ERC,merymore_
merymore_,ristomejide
merymore_,instagram
merymore_,3gerardpique
merymore_,Carles5puyol
paula_martcos,instagram
assemblea,albujawladimir
albujawladimir,instagram
albujawladimir,ForcadellCarme
albujawladimir,assemblea
walkaway,ristomejide
didito99,Carles5puyol
didito99,3gerardpique
Xavier_rcde,3gerardpique
Xavier_rcde,ristomejide
Esquerra_ERC,judithyalka
judithyalka,instagram
judithyalka,jordievole
judithyalka,3gerardpique
judithyalka,ristomejide
xramonrivera,instagram
xramonrivera,jordievole
xramonrivera,ristomejide
Esquerra_ERC,MaxCasas5
MaxCasas5,3gerardpique
MaxCasas5,Carles5puyol
gesma1983,ForcadellCarme
gesma1983,HiginiaRoig
gesma1983,jordievole
gesma1983,ristomejide
gesma1983,Carles5puyol
assemblea,GemmaLarruy
GemmaLarruy,jordievole
GemmaLarruy,ForcadellCarme
GemmaLarruy,Esquerra_ERC
GemmaLarruy,assemblea
GemmaLarruy,instagram
GemmaLarruy,ristomejide
GemmaLarruy,3gerardpique
GemmaLarruy,Carles5puyol
Esquerra_ERC,CarlesVidal
assemblea,CarlesVidal
CarlesVidal,HiginiaRoig
CarlesVidal,Esquerra_ERC
CarlesVidal,ForcadellCarme
CarlesVidal,assemblea
CarlesVidal,jordievole
CarlesVidal,3gerardpique
CarlesVidal,Carles5puyol
Esquerra_ERC,daddordaddor
daddordaddor,HiginiaRoig
daddordaddor,ForcadellCarme
daddordaddor,assemblea
daddordaddor,Esquerra_ERC
IlianaCapllonch,instagram
IlianaCapllonch,jordievole
angelagarcia92,instagram
angelagarcia92,ristomejide
angelagarcia92,3gerardpique
angelagarcia92,Carles5puyol
Kli_fes,Carles5puyol
Kli_fes,3gerardpique
Kli_fes,ristomejide
Kli_fes,instagram
LauraaLlop,HiginiaRoig
LauraaLlop,Esquerra_ERC
LauraaLlop,ForcadellCarme
LauraaLlop,assemblea
LauraaLlop,3gerardpique
MedusaCultura,NachoSanahuja
MedusaCultura,ristomejide
MedusaCultura,jordievole
MedusaCultura,instagram
MedusaCultura,HiginiaRoig
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
albert_sanju,HiginiaRoig
albert_sanju,assemblea
albert_sanju,instagram
albert_sanju,jordievole
albert_sanju,3gerardpique
albert_sanju,Carles5puyol
llavinarp,jordievole
llavinarp,instagram
llavinarp,HiginiaRoig
llavinarp,3gerardpique
llavinarp,ristomejide
llavinarp,Carles5puyol
Esquerra_ERC,itsanneta
itsanneta,Esquerra_ERC
itsanneta,ForcadellCarme
itsanneta,assemblea
assemblea,janinavilana
janinavilana,HiginiaRoig
janinavilana,ForcadellCarme
janinavilana,assemblea
elcapo_vcf,3gerardpique
ForcadellCarme,NachoSanahuja
MedusaCultura,NachoSanahuja
HiginiaRoig,NachoSanahuja
NachoSanahuja,ForcadellCarme
NachoSanahuja,HiginiaRoig
assemblea,isaacguila
Esquerra_ERC,isaacguila
isaacguila,ristomejide
isaacguila,ForcadellCarme
isaacguila,HiginiaRoig
isaacguila,assemblea
isaacguila,instagram
isaacguila,jordievole
isaacguila,Esquerra_ERC
isaacguila,3gerardpique
isaacguila,Carles5puyol
Motilleta_,instagram
MartaBascu,instagram
MartaBascu,ristomejide
miquel57,jordievole
miquel57,ForcadellCarme
miquel57,Esquerra_ERC
miquel57,HiginiaRoig
miquel57,assemblea
jaumefvidal,ForcadellCarme
jaumefvidal,HiginiaRoig
jaumefvidal,instagram
jaumefvidal,Carles5puyol
jaumefvidal,ristomejide
jaumefvidal,jordievole
jaumefvidal,3gerardpique
StefiQuilez7,Carles5puyol
StefiQuilez7,3gerardpique
TuiteroDelSur,ristomejide
TuiteroDelSur,3gerardpique
TuiteroDelSur,Carles5puyol
Bartro10,instagram
Bartro10,ForcadellCarme
Bartro10,ristomejide
Bartro10,Carles5puyol
Bartro10,3gerardpique
