group,id
1,jordinasb85
1,robertopiqueras
1,subramon1
1,A_M_Alali
1,gerard__89
1,edmon_bosch
1,gahero
1,jacobiteabroad
1,miaalberti
1,merymore_
1,paula_martcos
1,albujawladimir
1,walkaway
1,didito99
1,Xavier_rcde
1,judithyalka
1,xramonrivera
1,MaxCasas5
1,gesma1983
1,GemmaLarruy
1,CarlesVidal
1,outplayer1
1,daddordaddor
1,IlianaCapllonch
1,_NitReolid
1,angelagarcia92
1,Kli_fes
1,LauraaLlop
1,MedusaCultura
1,albert_sanju
1,gunsznroses
1,llavinarp
1,itsanneta
1,janinavilana
1,elcapo_vcf
1,NachoSanahuja
1,isaacguila
1,Motilleta_
1,CharlieYoung_98
1,imouthes
1,MartaBascu
1,miquel57
1,jaumefvidal
1,StefiQuilez7
1,RobertAdamson90
1,TuiteroDelSur
1,Bartro10
2,AlfredBosch
2,Iaia_Toneta
2,eixugatitornemh
2,HiginiaRoig
2,Esquerra_ERC
2,omnium
2,vpartal
2,VilaWeb
2,jordievole
2,KRLS
2,txarango
2,diariARA
2,QuimMonzo
2,ariadnaoltra
2,Araeslhora
2,martarovira
2,raulromeva
2,3gerardpique
2,barcelona_cat
2,assemblea
2,joandausa
2,Catala_Correcte
2,antonibassas
2,instagram
2,mkserra
2,JoanTarda
2,JuntsPelSi
2,QuimMasferrer
2,lluis_llach
2,RaholaOficial
2,miquelcalcada
2,policia
2,ForcadellCarme
2,LuisSuarez9
2,ModernetdeMerda
2,324cat
2,junqueras
2,elmonarac1
2,rac1
2,lacompetencia
2,philmusical
2,Buenafuente
2,BarackObama
2,maldiniplus
2,ristomejide
2,neymarjr
2,Mascherano
2,MarcBartra
2,1victorvaldes
2,Carles5puyol
2,cesc4official
2,DaniAlvesD2
2,andresiniesta8
2,XSalaimartin
2,soler_toni
2,jordibaste
2,FCBarcelona_cat
2,APMTV3
2,tv3cat
2,EstrellaDammCat
2,shakira
2,polcorominas
