group,id
1,jordinasb85
1,robertopiqueras
1,subramon1
1,A_M_Alali
1,gerard__89
1,edmon_bosch
1,gahero
1,jacobiteabroad
1,miaalberti
1,merymore_
1,paula_martcos
1,albujawladimir
1,walkaway
1,didito99
1,Xavier_rcde
1,judithyalka
1,xramonrivera
1,MaxCasas5
1,gesma1983
1,GemmaLarruy
1,CarlesVidal
1,outplayer1
1,daddordaddor
1,IlianaCapllonch
1,_NitReolid
1,angelagarcia92
1,Kli_fes
1,LauraaLlop
1,MedusaCultura
1,albert_sanju
1,gunsznroses
1,llavinarp
1,itsanneta
1,janinavilana
1,elcapo_vcf
1,NachoSanahuja
1,isaacguila
1,Motilleta_
1,CharlieYoung_98
1,imouthes
1,MartaBascu
1,miquel57
1,jaumefvidal
1,StefiQuilez7
1,RobertAdamson90
1,TuiteroDelSur
1,Bartro10
2,AlfredBosch
2,DANIELdoiser
2,JanneRiitakorpi
2,Iaia_Toneta
2,eixugatitornemh
2,replicanta_
2,Raig_Verd
2,HiginiaRoig
2,temporadaalta
2,Esquerra_ERC
2,lizcastro
2,Lespurnabloc
2,TeresaForcadesF
2,laculturanoval
2,aixocomesdiu
2,llenguacat
2,omnium
2,vpartal
2,VilaWeb
2,jordievole
2,KRLS
2,rogercoma
2,antoniobanos_
2,cupnacional
2,RogerPala
2,salvadostv
2,txarango
2,natzafarre
2,monicaplanas
2,diariARA
2,30minuts
2,QuimMonzo
2,quimarrufat
2,ariadnaoltra
2,_anapastor_
2,lendema_lapeli
2,Araeslhora
2,martarovira
2,raulromeva
2,3gerardpique
2,elscatarres
2,MACBA_Barcelona
2,iec
2,barcelona_cat
2,gebelque
2,assemblea
2,BibliotequesBCN
2,324_cultura
2,TimeOutBCN
2,cultura_cat
2,ARAcultura
2,enderrock
2,BibianaBallbe
2,joandausa
2,MishimaBCN
2,TRIAllibres
2,GrupManel
2,isonapassola
2,AdaColau
2,AlguerMiquel
2,nuvol_com
2,ramontremosa
2,amicsdelesarts
2,AlbanoDante76
2,parlament_cat
2,Catala_Correcte
2,salvadorcardus
2,mariusserra
2,antonibassas
2,murielcasals
2,TMB_Barcelona
2,instagram
2,MarcSerra21
2,pitudedeu
2,JEFFERSONCATALA
2,rincewindcat
2,mkserra
2,JoanTarda
2,25novembre2012
2,LaSotana_
2,PostureigCatala
2,jorditoty
2,angelhormigo
2,MartaDui
2,unilateralcat
2,ConvergenciaCAT
2,cmgorriaran
2,jordifinestres
2,joseluiscarazo
2,JeremyClarkson
2,TianRiba
2,nytimes
2,MonDiari
2,Col_Wilson
2,toniclapes
2,MainatJM
2,JuntsPelSi
2,eduardorepi
2,maticatradio
2,ARApolitica
2,esport3
2,ferrantorrentll
2,David_Cameron
2,gabrielrufian
2,enricmasip5
2,escudellat
2,ivanrakitic
2,francescribera
2,saulgordillo
2,muyinteresante
2,BernatDedeu
2,QuimMasferrer
2,tonialba
2,Toni_Cruanyes
2,Mas_Enfurecido
2,CasillasWorld
2,realmadrid
2,Cristiano
2,As_TomasRoncero
2,quimdomenech
2,sport
2,perezesquerdo
2,el_pais
2,encampanya
2,jmbartomeu
2,Thiago6
2,_Pedro17_
2,CCatalaNegocis
2,xgraset
2,jofrellombart
2,lluis_llach
2,CastellaToni
2,CatalunyaRadio
2,324_politica
2,AnnaSimo
2,ceskfreixas
2,txearana
