source,target
AlfredBosch,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
omnium,jordinasb85
vpartal,jordinasb85
jordinasb85,jordievole
jordinasb85,KRLS
jordinasb85,txarango
jordinasb85,diariARA
jordinasb85,QuimMonzo
jordinasb85,HiginiaRoig
jordinasb85,Araeslhora
jordinasb85,raulromeva
jordinasb85,3gerardpique
jordinasb85,assemblea
jordinasb85,antonibassas
jordinasb85,vpartal
jordinasb85,omnium
robertopiqueras,instagram
AlfredBosch,subramon1
subramon1,lluis_llach
subramon1,KRLS
subramon1,miquelcalcada
subramon1,vpartal
subramon1,Esquerra_ERC
subramon1,jordievole
subramon1,AlfredBosch
subramon1,assemblea
subramon1,raulromeva
subramon1,Araeslhora
subramon1,ForcadellCarme
subramon1,antonibassas
subramon1,HiginiaRoig
subramon1,junqueras
subramon1,elmonarac1
subramon1,Buenafuente
subramon1,ristomejide
subramon1,Carles5puyol
subramon1,cesc4official
subramon1,DaniAlvesD2
subramon1,andresiniesta8
subramon1,3gerardpique
subramon1,diariARA
subramon1,XSalaimartin
subramon1,QuimMonzo
subramon1,jordibaste
gerard__89,jordievole
Esquerra_ERC,edmon_bosch
AlfredBosch,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
edmon_bosch,FCBarcelona_cat
edmon_bosch,XSalaimartin
edmon_bosch,miquelcalcada
edmon_bosch,omnium
Esquerra_ERC,jacobiteabroad
jacobiteabroad,andresiniesta8
jacobiteabroad,Buenafuente
jacobiteabroad,XSalaimartin
jacobiteabroad,ristomejide
jacobiteabroad,Carles5puyol
jacobiteabroad,cesc4official
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
AlfredBosch,miaalberti
miaalberti,Araeslhora
miaalberti,ristomejide
miaalberti,instagram
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,antonibassas
miaalberti,AlfredBosch
miaalberti,junqueras
miaalberti,jordievole
miaalberti,APMTV3
Esquerra_ERC,merymore_
merymore_,diariARA
merymore_,txarango
merymore_,APMTV3
merymore_,DaniAlvesD2
merymore_,cesc4official
merymore_,ristomejide
merymore_,instagram
merymore_,3gerardpique
merymore_,andresiniesta8
merymore_,Carles5puyol
paula_martcos,instagram
paula_martcos,txarango
assemblea,albujawladimir
albujawladimir,instagram
albujawladimir,ForcadellCarme
albujawladimir,Araeslhora
albujawladimir,QuimMonzo
albujawladimir,FCBarcelona_cat
albujawladimir,Buenafuente
albujawladimir,elmonarac1
albujawladimir,assemblea
albujawladimir,omnium
walkaway,ristomejide
walkaway,Buenafuente
didito99,Carles5puyol
didito99,cesc4official
didito99,DaniAlvesD2
didito99,3gerardpique
didito99,andresiniesta8
Xavier_rcde,3gerardpique
Xavier_rcde,txarango
Xavier_rcde,ristomejide
Esquerra_ERC,judithyalka
judithyalka,instagram
judithyalka,jordievole
judithyalka,txarango
judithyalka,DaniAlvesD2
judithyalka,3gerardpique
judithyalka,ristomejide
judithyalka,Buenafuente
judithyalka,APMTV3
xramonrivera,instagram
xramonrivera,jordievole
xramonrivera,ristomejide
Esquerra_ERC,MaxCasas5
MaxCasas5,KRLS
MaxCasas5,raulromeva
MaxCasas5,junqueras
MaxCasas5,3gerardpique
MaxCasas5,antonibassas
MaxCasas5,DaniAlvesD2
MaxCasas5,XSalaimartin
MaxCasas5,Carles5puyol
MaxCasas5,andresiniesta8
APMTV3,gesma1983
gesma1983,KRLS
gesma1983,ForcadellCarme
gesma1983,HiginiaRoig
gesma1983,jordievole
gesma1983,ristomejide
gesma1983,elmonarac1
gesma1983,Carles5puyol
gesma1983,cesc4official
gesma1983,APMTV3
gesma1983,jordibaste
gesma1983,diariARA
polcorominas,GemmaLarruy
assemblea,GemmaLarruy
GemmaLarruy,elmonarac1
GemmaLarruy,polcorominas
GemmaLarruy,txarango
GemmaLarruy,Araeslhora
GemmaLarruy,jordievole
GemmaLarruy,ForcadellCarme
GemmaLarruy,Esquerra_ERC
GemmaLarruy,junqueras
GemmaLarruy,assemblea
GemmaLarruy,omnium
GemmaLarruy,instagram
GemmaLarruy,DaniAlvesD2
GemmaLarruy,FCBarcelona_cat
GemmaLarruy,ristomejide
GemmaLarruy,APMTV3
GemmaLarruy,andresiniesta8
GemmaLarruy,cesc4official
GemmaLarruy,3gerardpique
GemmaLarruy,Carles5puyol
polcorominas,CarlesVidal
Esquerra_ERC,CarlesVidal
assemblea,CarlesVidal
omnium,CarlesVidal
APMTV3,CarlesVidal
vpartal,CarlesVidal
CarlesVidal,KRLS
CarlesVidal,AlfredBosch
CarlesVidal,raulromeva
CarlesVidal,polcorominas
CarlesVidal,DaniAlvesD2
CarlesVidal,jordibaste
CarlesVidal,lluis_llach
CarlesVidal,HiginiaRoig
CarlesVidal,Esquerra_ERC
CarlesVidal,ForcadellCarme
CarlesVidal,assemblea
CarlesVidal,junqueras
CarlesVidal,QuimMonzo
CarlesVidal,miquelcalcada
CarlesVidal,omnium
CarlesVidal,XSalaimartin
CarlesVidal,APMTV3
CarlesVidal,jordievole
CarlesVidal,antonibassas
CarlesVidal,diariARA
CarlesVidal,vpartal
CarlesVidal,FCBarcelona_cat
CarlesVidal,Buenafuente
CarlesVidal,3gerardpique
CarlesVidal,Carles5puyol
CarlesVidal,andresiniesta8
AlfredBosch,daddordaddor
Esquerra_ERC,daddordaddor
daddordaddor,HiginiaRoig
daddordaddor,XSalaimartin
daddordaddor,QuimMonzo
daddordaddor,junqueras
daddordaddor,ForcadellCarme
daddordaddor,AlfredBosch
daddordaddor,omnium
daddordaddor,assemblea
daddordaddor,Esquerra_ERC
daddordaddor,miquelcalcada
daddordaddor,raulromeva
daddordaddor,vpartal
daddordaddor,diariARA
daddordaddor,antonibassas
IlianaCapllonch,instagram
IlianaCapllonch,jordievole
IlianaCapllonch,Buenafuente
angelagarcia92,instagram
angelagarcia92,ristomejide
angelagarcia92,Buenafuente
angelagarcia92,3gerardpique
angelagarcia92,Carles5puyol
Kli_fes,txarango
Kli_fes,Carles5puyol
Kli_fes,3gerardpique
Kli_fes,ristomejide
Kli_fes,instagram
LauraaLlop,KRLS
LauraaLlop,miquelcalcada
LauraaLlop,HiginiaRoig
LauraaLlop,lluis_llach
LauraaLlop,raulromeva
LauraaLlop,polcorominas
LauraaLlop,Esquerra_ERC
LauraaLlop,Araeslhora
LauraaLlop,omnium
LauraaLlop,ForcadellCarme
LauraaLlop,junqueras
LauraaLlop,diariARA
LauraaLlop,antonibassas
LauraaLlop,APMTV3
LauraaLlop,txarango
LauraaLlop,assemblea
LauraaLlop,3gerardpique
LauraaLlop,XSalaimartin
LauraaLlop,elmonarac1
LauraaLlop,jordibaste
vpartal,MedusaCultura
MedusaCultura,QuimMonzo
MedusaCultura,NachoSanahuja
MedusaCultura,lluis_llach
MedusaCultura,ristomejide
MedusaCultura,elmonarac1
MedusaCultura,jordievole
MedusaCultura,miquelcalcada
MedusaCultura,instagram
MedusaCultura,XSalaimartin
MedusaCultura,HiginiaRoig
MedusaCultura,Buenafuente
MedusaCultura,antonibassas
Esquerra_ERC,albert_sanju
albert_sanju,KRLS
albert_sanju,raulromeva
albert_sanju,Esquerra_ERC
albert_sanju,AlfredBosch
albert_sanju,HiginiaRoig
albert_sanju,assemblea
albert_sanju,elmonarac1
albert_sanju,APMTV3
albert_sanju,junqueras
albert_sanju,txarango
albert_sanju,instagram
albert_sanju,jordievole
albert_sanju,diariARA
albert_sanju,jordibaste
albert_sanju,QuimMonzo
albert_sanju,andresiniesta8
albert_sanju,DaniAlvesD2
albert_sanju,3gerardpique
albert_sanju,Carles5puyol
albert_sanju,cesc4official
albert_sanju,antonibassas
albert_sanju,FCBarcelona_cat
llavinarp,jordievole
llavinarp,instagram
llavinarp,miquelcalcada
llavinarp,HiginiaRoig
llavinarp,andresiniesta8
llavinarp,3gerardpique
llavinarp,cesc4official
llavinarp,ristomejide
llavinarp,FCBarcelona_cat
llavinarp,QuimMonzo
llavinarp,junqueras
llavinarp,Carles5puyol
llavinarp,Buenafuente
llavinarp,elmonarac1
llavinarp,diariARA
llavinarp,APMTV3
AlfredBosch,itsanneta
polcorominas,itsanneta
Esquerra_ERC,itsanneta
itsanneta,KRLS
itsanneta,omnium
itsanneta,lluis_llach
itsanneta,raulromeva
itsanneta,polcorominas
itsanneta,antonibassas
itsanneta,AlfredBosch
itsanneta,XSalaimartin
itsanneta,Araeslhora
itsanneta,Esquerra_ERC
itsanneta,ForcadellCarme
itsanneta,assemblea
itsanneta,txarango
assemblea,janinavilana
APMTV3,janinavilana
janinavilana,KRLS
janinavilana,HiginiaRoig
janinavilana,FCBarcelona_cat
janinavilana,lluis_llach
janinavilana,QuimMonzo
janinavilana,Araeslhora
janinavilana,ForcadellCarme
janinavilana,assemblea
janinavilana,XSalaimartin
janinavilana,elmonarac1
janinavilana,miquelcalcada
janinavilana,antonibassas
janinavilana,jordibaste
janinavilana,APMTV3
janinavilana,diariARA
elcapo_vcf,3gerardpique
ForcadellCarme,NachoSanahuja
miquelcalcada,NachoSanahuja
raulromeva,NachoSanahuja
QuimMonzo,NachoSanahuja
MedusaCultura,NachoSanahuja
HiginiaRoig,NachoSanahuja
jordibaste,NachoSanahuja
NachoSanahuja,miquelcalcada
NachoSanahuja,KRLS
NachoSanahuja,ForcadellCarme
NachoSanahuja,QuimMonzo
NachoSanahuja,elmonarac1
NachoSanahuja,lluis_llach
NachoSanahuja,HiginiaRoig
NachoSanahuja,jordibaste
polcorominas,isaacguila
APMTV3,isaacguila
assemblea,isaacguila
AlfredBosch,isaacguila
vpartal,isaacguila
omnium,isaacguila
Esquerra_ERC,isaacguila
isaacguila,raulromeva
isaacguila,KRLS
isaacguila,lluis_llach
isaacguila,Araeslhora
isaacguila,ristomejide
isaacguila,ForcadellCarme
isaacguila,txarango
isaacguila,HiginiaRoig
isaacguila,elmonarac1
isaacguila,assemblea
isaacguila,instagram
isaacguila,AlfredBosch
isaacguila,QuimMonzo
isaacguila,vpartal
isaacguila,junqueras
isaacguila,jordibaste
isaacguila,omnium
isaacguila,cesc4official
isaacguila,miquelcalcada
isaacguila,XSalaimartin
isaacguila,jordievole
isaacguila,Esquerra_ERC
isaacguila,andresiniesta8
